,MSZoning,Street,MSSubClass,LotArea,LandSlope,BldgType,HouseStyle,RoofStyle,RoofMatl,ExteriorComb,ExteriorCondComb,MasVnrType,MasVnrArea,Foundation,BsmtCondComb,TotalBsmtSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,KitchenAbvGr,KitchenQual,TotalBaths,1stFlrSF,2ndFlrSF,FireplaceComb,HeatingCOmb,CentralAir,TotalPorchArea,WoodDeckSF,GarageArea,PoolArea,Utilities,Electrical,MiscVal,SaleType,SaleCondition,OverallCondComb
32,10,2,20,11049,3,65,50,3,80,36,12,0,0.0,4,15,1234,0,1234,3,7,1,4,2.0,1234,0,0,15,1,30,0,484,0,4,6,0,10,6,40
33,10,2,20,10552,3,65,50,5,80,16,9,0,0.0,3,9,1398,0,1700,4,6,1,4,1.5,1700,0,4,12,1,38,0,447,0,4,6,0,10,6,25
34,10,2,120,7313,3,85,50,5,80,4,15,3,246.0,4,15,1561,0,1561,2,6,1,5,2.0,1561,0,4,15,1,47,203,556,0,4,6,0,10,6,45
35,10,2,60,13418,3,65,80,3,80,36,12,5,132.0,4,15,1117,0,2452,4,9,1,4,3.5,1132,1320,4,15,1,32,113,691,0,4,6,0,10,6,40
36,10,2,20,10859,3,65,50,3,80,36,9,0,0.0,4,12,1097,0,1097,3,6,1,3,1.5,1097,0,0,15,1,64,392,672,0,4,6,0,10,6,25
37,10,2,20,8532,3,65,50,5,80,8,9,3,650.0,3,9,1297,0,1297,3,5,1,3,1.0,1297,0,3,12,1,0,0,498,0,4,6,0,10,6,30
38,10,2,20,7922,3,65,50,3,80,36,12,0,0.0,3,9,1057,0,1057,3,5,1,4,1.0,1057,0,0,9,1,52,0,246,0,4,6,0,10,1,35
39,10,2,90,6040,3,75,50,3,80,14,9,0,0.0,4,9,0,0,1152,2,6,2,2,2.0,1152,0,0,9,0,0,0,0,0,4,2,0,10,5,20
40,10,2,20,8658,3,65,50,3,80,8,9,3,101.0,3,9,1088,0,1324,3,6,1,3,2.0,1324,0,3,15,1,138,0,440,0,4,6,0,10,1,30
41,10,2,20,16905,3,65,50,3,80,36,12,0,0.0,3,9,1350,0,1328,2,5,1,3,1.5,1328,0,8,12,1,104,0,308,0,4,6,0,10,6,30
42,10,2,85,9180,3,65,65,3,80,12,9,0,0.0,3,12,840,0,884,2,5,1,4,1.0,884,0,0,12,1,0,240,504,0,4,6,0,10,6,35
43,10,2,20,9200,3,65,50,5,80,36,9,0,0.0,3,12,938,0,938,3,5,1,3,1.0,938,0,0,9,1,0,145,308,0,4,6,0,10,6,30
44,10,2,20,7945,3,65,50,3,80,12,9,0,0.0,3,9,1150,0,1150,3,6,1,3,1.0,1150,0,0,15,1,0,0,300,0,4,4,0,10,6,30
45,10,2,120,7658,3,85,50,5,80,4,15,3,412.0,4,15,1752,0,1752,2,6,1,5,2.0,1752,0,4,15,1,82,196,576,0,4,6,0,10,6,45
46,10,2,50,12822,3,65,75,3,80,36,12,0,0.0,4,15,1434,0,2149,1,6,1,4,1.5,1518,631,5,15,1,241,168,670,0,4,6,0,10,1,35
47,1,2,20,11096,3,65,50,3,80,36,12,0,0.0,4,12,1656,0,1656,3,7,1,4,2.0,1656,0,0,15,1,146,0,826,0,4,6,0,10,6,40
48,6,2,190,4456,3,70,80,3,80,4,9,0,0.0,2,9,736,0,1452,2,8,3,3,2.0,736,716,0,12,1,102,0,0,0,4,6,0,7,2,20
49,10,2,20,7742,3,65,50,3,80,12,9,0,0.0,3,9,955,0,955,3,6,1,3,1.0,955,0,0,15,1,0,0,386,0,4,6,0,10,6,35
50,10,2,60,13869,3,65,80,3,80,36,9,0,0.0,4,12,794,0,1470,3,6,1,3,2.0,794,676,0,12,1,75,0,388,0,4,6,0,10,6,36
51,6,2,50,6240,3,65,75,3,80,8,9,0,0.0,4,9,816,360,1176,3,6,1,3,1.0,816,0,4,9,1,0,112,528,0,4,6,400,10,6,36
52,6,1,90,8472,2,75,50,3,80,8,6,0,0.0,3,12,816,0,816,2,5,1,3,1.0,816,0,0,9,0,0,106,516,0,4,6,0,10,6,25
53,10,2,20,50271,3,65,50,3,45,10,12,0,0.0,3,15,1842,0,1842,0,5,1,4,0.5,1842,0,4,12,1,72,857,894,0,4,6,0,10,6,45
54,10,2,80,7134,2,65,55,3,80,4,9,0,0.0,3,9,384,0,1360,3,6,1,3,1.0,1360,0,3,9,1,50,0,572,0,4,6,0,10,6,25
55,10,2,20,10175,3,65,50,3,80,17,9,3,272.0,3,9,1425,0,1425,3,7,1,3,2.0,1425,0,4,12,1,407,0,576,0,4,6,0,10,6,30
56,1,2,160,2645,3,80,80,3,80,4,12,3,456.0,4,12,970,0,1739,3,7,1,4,2.5,983,756,0,15,1,0,115,480,0,4,6,0,10,1,40
57,10,2,60,11645,3,65,80,3,80,36,12,0,0.0,4,12,860,0,1720,3,7,1,4,2.5,860,860,0,15,1,70,0,565,0,4,6,0,10,6,35
58,10,2,60,13682,3,65,80,5,80,36,15,3,1031.0,4,15,1410,0,2945,3,10,1,4,3.5,1426,1519,4,15,1,37,192,641,0,4,6,0,7,2,50
59,10,2,20,7200,3,65,50,3,80,12,9,0,0.0,3,9,780,0,780,2,4,1,3,1.0,780,0,0,15,1,0,196,352,0,4,6,0,10,6,35
60,10,2,20,13072,3,65,50,3,80,36,9,0,0.0,4,12,1158,0,1158,3,5,1,4,1.5,1158,0,0,15,1,50,0,576,0,4,6,0,7,2,30
61,6,2,75,7200,3,65,90,3,80,4,9,0,0.0,2,6,530,0,1111,3,6,1,2,1.0,581,530,0,9,0,144,0,288,0,4,6,0,10,6,35
62,10,2,120,6442,3,85,50,3,80,36,12,5,178.0,4,16,1370,0,1370,2,6,1,4,2.0,1370,0,4,15,1,49,120,484,0,4,6,0,10,6,40
63,6,2,70,10300,3,65,80,3,80,34,9,0,0.0,2,9,576,0,1710,3,9,1,3,2.0,902,808,0,12,1,75,12,480,0,4,6,0,10,6,42
64,10,2,60,9375,3,65,80,3,80,36,9,3,573.0,4,12,1057,0,2034,3,8,1,4,2.5,1057,977,0,15,1,36,576,645,0,4,6,0,10,6,35
65,10,2,60,9591,3,65,80,3,80,36,12,3,344.0,4,15,1143,0,2473,4,9,1,4,2.5,1143,1330,4,15,1,151,192,852,0,4,6,0,10,6,40
66,10,2,20,19900,3,65,50,3,80,22,9,3,287.0,3,12,1947,0,2207,3,7,1,3,2.0,2207,0,4,9,1,0,301,576,0,4,6,0,10,6,35
67,10,2,20,10665,3,65,50,3,80,36,12,3,167.0,4,12,1453,0,1479,3,7,1,4,2.0,1479,0,0,15,1,29,144,558,0,4,6,0,10,6,35
68,6,2,30,4608,3,65,50,3,80,4,12,0,0.0,3,9,747,0,747,2,4,1,3,1.0,747,0,0,9,1,0,0,220,0,4,6,0,10,6,24
69,10,2,50,15593,3,65,75,3,80,11,12,0,0.0,3,9,1304,0,2287,3,7,1,3,2.0,1304,983,3,6,1,135,0,667,0,4,6,0,10,6,28
70,10,2,20,13651,3,65,50,3,80,22,12,3,1115.0,3,12,2223,0,2223,3,8,1,3,2.0,2223,0,8,15,1,0,300,516,0,4,6,0,10,6,42
71,10,2,20,7599,3,65,50,3,80,17,9,0,0.0,3,9,845,0,845,2,4,1,3,1.0,845,0,0,9,1,0,0,360,0,4,6,0,10,6,24
72,10,2,60,10141,3,65,80,3,80,36,9,3,40.0,4,12,832,0,1718,3,7,1,3,2.5,885,833,3,12,1,385,0,427,0,4,6,0,10,6,35
73,10,2,20,10200,3,65,50,3,80,8,9,3,104.0,3,9,1086,0,1086,3,6,1,3,1.0,1086,0,0,12,1,0,0,490,0,4,6,0,10,6,35
74,6,2,50,5790,3,65,80,2,80,36,16,0,0.0,3,6,840,0,1605,3,8,2,3,2.0,840,765,0,12,0,202,0,379,0,4,6,0,10,6,18
75,6,2,180,1596,3,80,55,3,80,20,9,0,0.0,3,12,462,0,988,2,5,1,3,1.0,526,462,0,9,1,101,120,297,0,4,6,0,10,6,20
76,10,2,20,8475,3,65,50,3,80,36,9,0,0.0,3,9,952,0,952,2,4,1,3,1.0,952,0,0,15,1,0,0,283,0,4,4,0,10,6,28
77,6,2,50,8635,3,65,75,3,80,8,9,0,0.0,3,9,672,0,1285,2,6,1,3,1.0,1072,213,0,9,1,0,0,240,0,4,6,0,10,6,25
78,10,2,90,10778,3,75,50,5,80,12,9,0,0.0,3,9,1768,0,1768,4,8,2,3,2.0,1768,0,0,9,0,0,0,0,0,4,6,0,10,6,20
79,6,2,50,10440,3,65,80,3,80,8,9,0,0.0,4,9,440,0,1230,2,5,1,3,1.5,682,548,0,12,1,128,74,440,0,4,6,0,10,6,30
80,10,2,60,13000,3,65,80,3,80,36,12,3,576.0,3,12,896,0,2142,4,8,1,4,2.5,1182,960,4,9,1,324,0,509,0,4,6,0,10,6,36
81,6,2,120,4500,3,85,50,5,80,36,12,3,443.0,4,20,1237,0,1337,2,5,1,3,2.0,1337,0,0,15,1,199,0,405,0,4,6,0,10,6,30
82,10,2,20,10206,3,65,50,3,80,36,9,5,468.0,4,12,1563,0,1563,3,6,1,4,2.0,1563,0,4,15,1,99,144,758,0,4,6,0,10,6,40
83,10,2,20,8892,3,65,50,3,80,4,9,4,66.0,3,9,1065,0,1065,3,6,1,3,1.5,1065,0,0,12,1,0,74,461,0,4,6,0,6,6,25
84,10,2,80,8530,3,65,55,3,80,12,9,3,22.0,4,12,384,0,1474,3,7,1,3,2.5,804,670,3,12,1,72,120,400,0,4,6,700,10,6,35
85,10,2,60,16059,3,65,80,5,80,12,12,3,284.0,3,12,1288,0,2417,4,9,1,4,2.5,1301,1116,3,15,1,82,127,462,0,4,6,0,10,6,40
86,10,2,60,11911,3,65,80,3,80,36,12,0,0.0,4,12,684,0,1560,3,6,1,4,2.5,684,876,4,15,1,38,100,400,0,4,6,0,10,6,30
87,1,2,160,3951,3,85,80,3,80,36,12,5,76.0,4,12,612,0,1224,2,4,1,4,2.5,612,612,0,15,1,234,0,528,0,4,6,0,7,2,30
88,20,2,50,8470,3,65,75,5,80,22,4,0,0.0,3,6,1013,513,1526,2,6,1,2,1.0,1013,0,0,9,0,156,0,0,0,4,6,0,2,1,6
89,10,2,20,8070,3,65,50,3,80,36,9,0,0.0,4,12,990,0,990,3,5,1,3,1.0,990,0,0,15,1,0,0,0,0,4,6,0,10,6,20
90,10,2,20,7200,3,65,50,3,80,12,9,0,0.0,5,9,0,0,1040,2,4,1,3,1.0,1040,0,0,9,1,29,0,420,0,4,4,0,10,6,20
91,10,2,20,8500,3,65,50,5,80,12,9,4,203.0,3,9,1235,0,1235,2,6,1,3,1.0,1235,0,0,9,1,0,0,480,0,4,6,0,10,1,15
92,10,2,30,13360,3,65,50,3,80,8,12,0,0.0,2,12,876,0,964,2,5,1,3,1.0,964,0,0,15,1,44,0,432,0,4,6,0,10,6,35
93,20,2,190,7200,3,70,90,5,80,4,9,0,0.0,2,6,1214,0,2291,4,9,2,3,2.0,1260,1031,4,10,0,99,0,506,0,4,6,0,10,6,36
94,10,2,60,9337,3,65,80,3,80,36,12,0,0.0,4,12,824,0,1786,3,7,1,4,2.5,905,881,0,15,1,162,0,684,0,4,6,0,10,6,30
95,10,2,60,9765,3,65,80,3,80,36,20,3,68.0,4,16,680,0,1470,3,6,1,3,2.5,680,790,3,12,1,63,232,420,0,4,6,480,10,6,48
96,10,2,20,10264,3,65,50,3,80,36,12,3,183.0,4,12,1588,0,1588,3,6,1,4,2.0,1588,0,0,15,1,29,158,472,0,4,6,0,10,6,35
97,10,2,20,10921,3,65,50,5,80,12,9,3,48.0,3,9,960,0,960,3,6,1,3,1.0,960,0,0,9,1,0,120,432,0,4,3,0,10,6,20
98,10,2,30,10625,3,65,50,3,80,8,9,0,0.0,2,9,458,0,835,2,5,1,3,1.0,835,0,0,6,0,77,0,366,0,4,6,400,6,1,25
99,10,2,20,9320,3,65,50,3,80,22,9,0,0.0,3,9,950,0,1225,3,6,1,3,1.5,1225,0,0,6,1,0,352,0,0,4,6,400,10,6,20
100,10,2,20,10603,3,65,50,3,80,22,9,3,28.0,4,9,1610,0,1610,3,6,1,4,2.0,1610,0,6,12,1,68,168,480,0,4,6,0,10,6,42
101,10,2,60,9206,3,65,80,3,80,12,12,3,336.0,3,12,741,0,1732,3,7,1,4,2.5,977,755,3,9,1,46,192,476,0,4,6,0,10,6,30
102,10,2,90,7018,3,75,50,3,80,12,6,0,0.0,5,9,0,0,1535,4,8,2,3,2.0,1535,0,0,9,1,0,0,410,0,4,6,0,10,3,25
103,10,2,20,10402,3,65,50,3,80,36,9,0,0.0,4,12,1226,0,1226,3,6,1,4,2.0,1226,0,0,15,1,36,0,740,0,4,6,0,10,6,35
104,6,2,50,7758,3,65,75,3,80,34,6,3,600.0,4,9,1040,0,1818,4,7,1,3,1.5,1226,592,6,15,1,184,0,240,0,4,3,0,10,6,28
105,1,2,60,9375,3,65,80,5,80,36,12,3,768.0,4,15,1053,0,1992,3,9,1,4,2.5,1053,939,4,15,1,45,140,648,0,4,6,0,10,6,40
106,6,2,30,10800,3,65,50,6,80,36,9,0,0.0,2,6,641,0,1047,2,6,1,3,1.0,1047,0,0,12,1,0,0,273,0,4,6,450,10,6,28
107,6,2,20,6000,3,65,50,3,80,36,9,0,0.0,3,9,789,0,789,2,5,1,3,1.0,789,0,0,15,1,0,0,250,0,4,6,0,10,2,25
108,6,2,50,8500,3,65,75,3,80,20,9,0,0.0,3,9,793,0,1517,3,7,1,2,2.0,997,520,0,6,0,144,0,0,0,4,3,0,10,6,35
109,10,2,20,11751,3,65,50,5,80,22,9,3,480.0,3,12,1844,0,1844,3,7,1,3,2.0,1844,0,3,15,1,122,0,546,0,4,6,0,6,6,36
110,10,2,50,9525,3,65,75,3,80,8,9,0,0.0,3,6,994,0,1855,4,7,1,3,2.0,1216,639,0,12,1,0,182,325,0,4,6,0,10,6,24
111,10,2,80,7750,3,65,55,3,80,36,9,0,0.0,4,12,384,0,1430,3,7,1,3,2.5,774,656,3,15,1,0,180,400,0,4,6,0,10,6,35
112,10,2,60,9965,3,65,80,3,80,36,12,5,220.0,4,15,1264,0,2696,4,10,1,5,2.5,1282,1414,4,15,1,352,120,792,0,4,6,0,7,2,35
113,10,2,20,21000,3,65,50,5,80,8,12,3,184.0,3,12,1809,0,2259,3,7,1,4,2.0,2259,0,8,9,1,312,166,450,0,4,6,0,6,1,30
114,10,2,70,7259,2,65,80,2,80,8,9,0,0.0,3,9,1028,0,2320,3,9,1,4,2.5,1436,884,3,15,1,0,224,180,0,4,6,0,10,6,48
115,1,2,160,3230,3,85,80,3,80,4,9,3,1129.0,4,12,729,0,1458,2,5,1,3,2.5,729,729,2,12,1,32,0,440,0,4,6,0,10,6,30
116,10,2,20,11616,3,65,50,3,80,8,9,3,116.0,3,9,1092,0,1092,3,6,1,3,1.0,1092,0,1,9,1,164,0,288,0,4,6,0,10,6,25
117,10,2,20,8536,3,65,50,3,80,36,9,0,0.0,4,12,1125,0,1125,2,5,1,3,1.5,1125,0,0,12,1,64,80,430,0,4,6,0,7,2,25
118,10,2,60,12376,3,65,80,5,80,22,9,0,0.0,4,12,1673,0,3222,5,11,1,4,3.0,1699,1523,6,12,1,0,367,594,0,4,6,0,10,6,35
119,10,2,60,8461,3,65,80,3,80,36,12,0,0.0,4,12,728,0,1456,3,8,1,4,2.5,728,728,4,15,1,24,0,390,0,4,6,0,7,2,30
120,10,2,80,21453,1,65,55,4,70,22,9,0,0.0,3,9,938,0,988,1,4,1,3,1.0,988,0,6,15,1,260,0,540,0,4,6,0,10,6,30
121,6,2,50,6060,3,65,75,3,80,6,9,0,0.0,4,9,732,0,1123,3,4,1,3,1.0,772,351,0,12,1,140,0,264,0,4,6,0,10,6,20
122,10,2,20,9464,3,65,50,5,80,4,12,3,135.0,3,9,1080,0,1080,3,5,1,3,1.0,1080,0,0,12,1,130,0,288,0,4,6,0,10,6,42
123,10,2,120,7892,3,85,50,3,80,22,12,0,0.0,4,12,1199,0,1199,2,5,1,4,2.0,1199,0,0,15,1,63,0,530,0,4,6,0,10,6,30
124,10,2,20,17043,3,65,50,3,80,12,12,0,0.0,3,8,1362,0,1586,3,7,1,3,2.0,1586,0,3,9,1,0,192,435,0,4,6,0,10,6,30
125,6,2,190,6780,3,70,75,3,80,8,6,0,0.0,3,9,520,234,754,2,5,1,3,1.0,520,0,0,12,0,0,53,0,0,4,6,0,10,6,48
126,10,2,120,4928,3,85,50,3,80,22,9,0,0.0,3,12,1078,0,958,2,5,1,3,2.0,958,0,3,9,1,205,0,440,0,4,6,0,10,6,30
127,6,2,45,4388,3,65,70,3,80,9,12,0,0.0,2,9,672,0,840,3,5,1,3,1.0,840,0,3,15,1,0,0,0,0,4,6,0,10,6,35
128,10,2,60,7590,3,65,80,3,80,36,9,3,266.0,3,9,660,0,1348,3,6,1,3,1.5,660,688,2,9,1,108,188,453,0,4,6,0,10,6,30
129,10,2,20,8973,3,65,50,3,80,22,9,3,85.0,3,9,1008,0,1053,3,6,1,5,1.5,1053,0,0,9,1,260,0,750,0,4,4,0,10,1,35
130,10,2,60,14200,3,65,80,3,80,4,9,3,309.0,3,9,924,0,2157,4,8,1,4,2.5,1216,941,8,15,1,66,105,487,0,4,6,0,10,6,42
131,10,2,60,12224,3,65,80,3,80,36,12,3,40.0,4,12,992,0,2054,3,7,1,4,2.5,1022,1032,3,15,1,48,24,390,0,4,6,0,10,6,30
132,10,2,20,7388,3,65,50,3,80,4,9,0,0.0,3,9,1063,0,1327,3,7,1,4,1.0,1327,0,0,12,1,0,0,624,0,4,6,0,10,6,30
133,10,2,20,6853,3,65,50,3,80,36,12,3,136.0,4,15,1267,0,1296,2,6,1,4,2.0,1296,0,0,15,1,25,192,471,0,4,6,0,10,6,40
134,10,2,20,10335,3,65,50,3,80,22,9,0,0.0,3,9,1461,0,1721,3,7,1,3,2.5,1721,0,3,12,1,276,0,440,0,4,6,0,10,6,30
135,10,2,20,10400,3,65,50,5,80,22,9,3,288.0,4,9,1304,0,1682,3,7,1,3,2.0,1682,0,4,12,1,0,98,530,0,4,6,0,10,6,42
136,10,2,20,10355,3,65,50,3,80,4,9,3,196.0,3,9,1214,0,1214,3,5,1,3,2.0,1214,0,2,9,1,111,0,318,0,4,6,0,10,6,25
137,10,2,90,11070,3,75,50,3,80,36,9,3,70.0,3,9,1907,0,1959,5,9,2,3,3.0,1959,0,0,12,1,0,0,766,0,4,6,0,10,4,35
138,10,2,60,9066,3,65,80,3,80,36,12,3,320.0,4,12,1004,0,1852,3,7,1,4,2.5,1004,848,6,15,1,106,224,660,0,4,6,0,10,6,40
139,10,2,60,15426,3,65,80,3,80,36,9,0,0.0,4,12,928,0,1764,3,7,1,4,2.5,928,836,0,15,1,99,276,470,0,4,6,0,10,6,30
140,10,2,20,10500,3,65,50,3,80,12,9,0,0.0,3,9,864,0,864,3,5,1,3,1.0,864,0,1,9,1,0,0,0,0,4,6,0,3,6,20
141,10,2,20,11645,3,65,50,3,80,36,12,0,0.0,4,12,1734,0,1734,3,7,1,4,2.0,1734,0,0,15,1,24,160,660,0,4,6,0,10,6,35
142,10,2,50,8520,3,65,75,3,80,12,6,0,0.0,3,9,910,0,1385,4,6,1,3,2.0,910,475,0,6,1,0,0,720,0,4,6,0,10,6,20
143,10,2,20,10335,3,65,50,3,80,36,12,3,183.0,4,12,1490,0,1501,3,6,1,4,2.0,1501,0,0,15,1,29,144,577,0,4,6,0,10,6,35
144,6,2,90,9100,3,75,50,3,80,12,9,3,336.0,3,9,1728,0,1728,6,10,2,3,2.0,1728,0,0,9,1,0,0,504,0,4,6,0,3,1,25
145,6,2,160,2522,3,80,80,3,80,36,12,5,50.0,4,12,970,0,1709,3,7,1,4,2.0,970,739,0,15,1,40,0,380,0,4,6,0,10,6,30
146,6,2,30,6120,3,65,50,3,80,8,9,0,0.0,2,9,715,0,875,2,5,1,3,1.0,875,0,0,9,1,0,48,180,0,4,4,0,10,6,35
147,10,2,60,9505,3,65,80,3,80,36,12,3,180.0,4,12,884,0,2035,3,8,1,4,2.5,884,1151,4,15,1,48,144,434,0,4,6,0,10,6,35
148,10,2,20,7500,3,65,50,3,80,36,9,3,120.0,4,12,1080,0,1080,3,6,1,4,1.0,1080,0,0,15,1,0,0,0,0,4,6,0,10,6,35
149,6,2,50,6240,3,65,75,3,80,4,9,0,0.0,2,12,896,0,1344,3,7,1,3,1.0,896,448,0,12,1,114,200,240,0,4,4,0,10,6,20
150,10,2,20,10356,3,65,50,3,80,12,9,0,0.0,3,9,969,0,969,3,5,1,3,1.5,969,0,0,9,1,0,0,440,0,4,6,0,10,6,30
151,10,2,20,13891,3,65,50,5,80,36,12,5,436.0,4,15,1710,0,1710,2,6,1,4,2.0,1710,0,4,15,1,102,0,866,0,4,6,0,7,2,40
152,10,2,60,14803,3,65,80,3,80,12,9,3,252.0,3,9,825,0,1993,4,8,1,3,2.5,1097,896,4,12,1,66,0,495,0,4,6,0,10,6,30
153,10,2,20,13500,3,65,50,4,80,19,9,0,0.0,3,12,1602,0,1252,1,4,1,3,1.0,1252,0,4,12,1,0,409,564,0,4,6,0,10,6,42
154,6,2,30,11340,3,65,50,3,80,8,9,0,0.0,2,9,1200,0,1200,4,7,1,3,1.0,1200,0,0,9,1,228,0,312,0,4,4,0,10,4,30
155,10,2,50,9600,3,65,75,3,80,8,9,0,0.0,2,9,572,0,1096,2,5,1,3,1.0,572,524,0,10,0,136,0,0,0,4,3,0,10,6,30
156,10,2,20,7200,3,65,50,5,80,8,9,0,0.0,3,9,0,0,1040,2,5,1,3,1.0,1040,0,0,9,1,0,0,625,0,4,3,0,10,6,35
